Dice 1, Dice 2, Dice 3, Dice 4, Dice 5, Dice 6, Dice 7
0, 1, 14, 3, 27, 24, 30
0, 1, 14, 3, 27, 24, 5
0, 1, 14, 3, 27, 31, 30
0, 1, 14, 3, 27, 31, 5
0, 1, 14, 3, 27, 11, 30
0, 1, 14, 3, 27, 11, 5
0, 1, 14, 3, 27, 4, 30
0, 1, 14, 3, 27, 4, 5
0, 1, 14, 3, 33, 24, 30
0, 1, 14, 3, 33, 24, 5
0, 1, 14, 3, 33, 31, 30
0, 1, 14, 3, 33, 31, 5
0, 1, 14, 3, 33, 11, 30
0, 1, 14, 3, 33, 11, 5
0, 1, 14, 3, 33, 4, 30
0, 1, 14, 3, 33, 4, 5
0, 1, 14, 3, 28, 24, 30
0, 1, 14, 3, 28, 24, 5
0, 1, 14, 3, 28, 31, 30
0, 1, 14, 3, 28, 31, 5
0, 1, 14, 3, 28, 11, 30
0, 1, 14, 3, 28, 11, 5
0, 1, 14, 3, 28, 4, 30
0, 1, 14, 3, 28, 4, 5
0, 1, 14, 3, 34, 24, 30
0, 1, 14, 3, 34, 24, 5
0, 1, 14, 3, 34, 31, 30
0, 1, 14, 3, 34, 31, 5
0, 1, 14, 3, 34, 11, 30
0, 1, 14, 3, 34, 11, 5
0, 1, 14, 3, 34, 4, 30
0, 1, 14, 3, 34, 4, 5
0, 1, 14, 3, 22, 24, 30
0, 1, 14, 3, 22, 24, 5
0, 1, 14, 3, 22, 31, 30
0, 1, 14, 3, 22, 31, 5
0, 1, 14, 3, 22, 11, 30
0, 1, 14, 3, 22, 11, 5
0, 1, 14, 3, 22, 4, 30
0, 1, 14, 3, 22, 4, 5
0, 1, 14, 3, 29, 24, 30
0, 1, 14, 3, 29, 24, 5
0, 1, 14, 3, 29, 31, 30
0, 1, 14, 3, 29, 31, 5
0, 1, 14, 3, 29, 11, 30
0, 1, 14, 3, 29, 11, 5
0, 1, 14, 3, 29, 4, 30
0, 1, 14, 3, 29, 4, 5
0, 1, 14, 10, 27, 24, 30
0, 1, 14, 10, 27, 24, 5
0, 1, 14, 10, 27, 31, 30
0, 1, 14, 10, 27, 31, 5
0, 1, 14, 10, 27, 11, 30
0, 1, 14, 10, 27, 11, 5
0, 1, 14, 10, 27, 4, 30
0, 1, 14, 10, 27, 4, 5
0, 1, 14, 10, 33, 24, 30
0, 1, 14, 10, 33, 24, 5
0, 1, 14, 10, 33, 31, 30
0, 1, 14, 10, 33, 31, 5
0, 1, 14, 10, 33, 11, 30
0, 1, 14, 10, 33, 11, 5
0, 1, 14, 10, 33, 4, 30
0, 1, 14, 10, 33, 4, 5
0, 1, 14, 10, 28, 24, 30
0, 1, 14, 10, 28, 24, 5
0, 1, 14, 10, 28, 31, 30
0, 1, 14, 10, 28, 31, 5
0, 1, 14, 10, 28, 11, 30
